x,y,z
1,24.6,1.39
1,24.66,1.38
1,24.58,1.38
1,24.55,1.41
1,24.57,1.4
1,24.59,1.4
1,24.6,1.42
1,24.53,1.4
1,24.54,1.4
1,24.49,1.41
1,24.44,1.41
1,24.49,1.41
1,24.44,1.41
1,24.59,1.41
1,24.87,1.4
1,24.91,1.39
1,24.88,1.39
1,24.86,1.39
1,24.89,1.41
1,24.87,1.4
1,24.85,1.38
1,24.68,1.41
1,24.58,1.4
1,24.58,1.39
1,24.55,1.41
1,24.42,1.41
1,24.35,1.41
1,24.45,1.39
1,24.49,1.42
1,24.33,1.4
1,24.31,1.41
1,24.35,1.42
1,24.28,1.42
1,24.24,1.42
1,24.31,1.42
1,24.33,1.4
1,24.35,1.41
1,24.33,1.4
1,24.27,1.4
1,24.38,1.4
1,24.38,1.38
1,24.33,1.4
1,24.32,1.4
1,24.83,1.38
1,24.72,1.42
1,24.71,1.39
1,24.73,1.42
1,24.85,1.41
1,24.9,1.42
1,24.89,1.41
1,24.82,1.41
1,24.84,1.4
1,24.96,1.42
1,24.93,1.41
1,25.18,1.4
1,25.15,1.39
1,25.11,1.39
1,25.12,1.41
1,25.05,1.4
1,24.89,1.38
1,24.75,1.41
1,24.63,1.41
1,24.57,1.41
1,24.62,1.39
1,24.74,1.41
1,24.7,1.41
1,24.7,1.4
1,24.69,1.41
1,24.55,1.4
1,24.53,1.41
1,24.54,1.41
1,24.7,1.42
1,24.65,1.4
1,24.58,1.4
1,24.42,1.38
1,24.41,1.39
1,24.37,1.4
1,24.63,1.4
1,24.48,1.39
1,24.58,1.41
1,24.46,1.41
1,24.44,1.37
1,24.49,1.4
1,24.49,1.4
1,24.4,1.41
1,24.42,1.4
1,24.85,1.42
1,24.93,1.4
1,24.93,1.41
1,24.34,1.41
1,24.34,1.39
1,24.33,1.41
1,24.29,1.4
1,24.29,1.41
1,24.27,1.39
1,24.87,1.38
1,24.94,1.39
1,24.97,1.4
1,24.9,1.39
1,24.86,1.39
1,24.92,1.4
1,25.25,1.4
1,24.91,1.43
1,24.88,1.41
1,25.16,1.4
1,25.16,1.43
1,25.15,1.41
1,25.12,1.42
1,25.05,1.41
1,25.05,1.4
1,24.97,1.42
1,25.16,1.42
1,25.16,1.41
1,25.19,1.41
1,25.07,1.42
1,28.92,1.94
1,28.99,1.92
1,29.32,1.93
1,29.35,1.89
1,29.32,1.93
1,29.24,1.91
1,29.28,1.95
1,29.25,1.9
1,29.22,1.91
1,29.17,1.91
1,29.18,1.93
1,29.13,1.9
1,29.1,1.91
1,29.13,1.91
1,29.25,1.9
1,29.18,1.91
1,29.23,1.92
1,29.1,1.92
1,29.06,1.9
1,29.04,1.9
1,29.02,1.9
1,29.11,1.91
1,29.06,1.92
1,29.18,1.92
1,29.23,1.92
1,29.28,1.91
1,29.23,1.92
1,29.58,1.91
1,29.62,1.91
1,29.54,1.95
1,29.18,1.92
1,29.18,1.91
1,29.22,1.92
1,29.32,1.92
1,29.28,1.9
1,29.29,1.94
1,29.21,1.92
1,28.54,1.92
1,28.5,1.92
1,28.8,1.93
1,29.06,1.92
1,29.37,1.94
