x,y,z
1,1.92,29.53
1,1.92,29.35
1,1.92,28.97
1,1.93,28.78
1,1.93,28.82
1,1.93,28.82
1,1.91,28.87
1,1.91,29.26
1,1.91,29.59
1,1.93,29.63
1,1.93,29.15
1,1.91,29.4
1,1.91,29.55
1,1.9,29.6
1,1.91,29.58
1,1.92,29.56
1,1.91,29.51
1,1.93,29.28
1,1.93,29.51
1,1.92,29.5
1,1.93,29.51
1,1.92,29.29
1,1.95,29.26
1,1.93,29.32
1,1.93,29.36
1,1.93,29.35
1,1.91,29.3
1,1.94,29.27
1,1.92,29.26
1,1.92,29.25
1,1.93,29.18
1,1.92,29.16
1,1.94,29.14
1,1.92,29.19
1,1.93,29.25
1,1.94,29.25
1,1.93,29.29
1,1.91,29.27
1,1.92,29.21
1,1.93,29.19
1,1.92,29.18
1,1.92,29.2
1,1.93,29.14
1,1.92,28.96
1,1.92,28.97
1,1.91,29.04
1,1.91,29.21
1,1.91,29.17
1,1.91,29.06
1,1.91,28.77
1,1.94,28.76
1,1.93,28.71
1,1.93,28.69
1,1.92,29.25
1,1.93,29.55
1,1.92,29.55
1,1.93,29.51
1,1.91,29.57
1,1.9,30.1
1,1.93,30.1
1,1.93,30.12
1,1.94,29.25
1,1.93,29.19
1,1.93,29.41
1,1.95,29.43
1,1.91,29.58
1,1.92,29.53
1,1.92,29.54
1,1.93,29.53
1,1.91,29.53
1,1.91,29.44
1,1.93,29.21
1,1.92,29.23
1,1.95,29.23
1,1.92,29.21
1,1.92,29.75
1,1.92,29.93
1,1.93,29.8
1,1.93,29.82
1,1.92,29.83
1,1.89,29.82
1,1.91,29.59
1,1.93,29.44
1,1.92,29.48
1,1.89,29.47
1,1.92,29.21
1,1.91,29.2
1,1.92,29.39
1,1.9,29.39
1,1.93,29.55
1,1.91,29.64
1,1.91,29.67
1,1.92,29.35
1,3.76,40.75
1,3.76,40.78
1,3.76,40.8
1,3.75,40.71
1,3.74,40.71
1,3.75,40.92
1,3.75,40.88
1,3.73,41.01
1,3.75,40.79
1,3.73,40.78
1,3.75,40.83
1,3.73,40.86
1,3.74,40.8
1,3.74,40.9
1,3.77,40.88
1,3.76,40.94
1,3.79,40.96
1,3.75,40.92
1,3.75,40.91
1,3.76,40.94
1,3.74,41.01
1,3.76,40.99
1,3.76,41.04
1,3.77,41.1
1,3.76,41.07
1,3.74,41.15
1,3.76,40.98
1,3.75,40.94
1,3.74,40.94
1,3.73,41.29
1,3.76,41.28
1,3.74,41.22
1,3.75,40.99
1,3.74,41.03
1,3.77,41.05
1,3.76,40.78
1,3.74,40.74
1,3.77,40.6
1,3.76,40.58
1,3.72,40.9
1,3.73,40.96
1,3.72,40.81
1,3.73,40.63
1,3.75,40.59
1,3.76,40.91
1,3.77,40.97
1,3.78,40.88
1,3.77,40.98
1,3.76,41.17
1,3.73,41.05
1,3.74,41.15
1,3.77,41.21
1,3.78,41.18
1,3.75,41.18
1,3.76,41.22
1,3.8,41.27
1,3.8,41.53
1,3.79,41.51
1,3.77,41.42
1,3.77,41.15
1,3.78,41.01
1,3.78,41.14
1,3.76,40.89
1,3.77,40.32
1,3.77,40.34
1,3.76,40.49
1,3.78,41.07
1,3.77,41.07
1,3.76,41.11
1,3.76,40.92
1,3.75,40.85
1,3.77,40.86
1,3.77,41.28
1,3.77,41.3
1,3.75,41.15
1,3.76,41.19
1,3.76,41.09
1,3.76,41.11
1,3.76,41.12
1,3.75,40.75
1,3.74,40.77
1,3.74,40.79
1,3.74,40.83
1,3.75,40.78
1,3.72,40.79
1,3.73,40.86
1,3.75,40.9
1,3.73,41.27
1,3.76,41.38
1,3.74,41.36
1,3.73,41.38
1,3.73,41.39
1,3.73,41.35
1,3.72,40.87
1,3.72,41
1,3.73,40.85
1,3.74,40.92
1,3.75,40.91
1,3.76,40.9
1,3.76,40.99
1,3.74,40.93
1,3.73,40.8
1,3.73,40.65
1,3.73,40.48
1,3.75,40.83
1,3.73,40.78
1,3.75,40.89
1,3.75,40.93
1,3.74,40.87
1,3.76,40.89
1,3.74,40.87
1,3.72,40.8
1,3.74,40.89
1,3.76,40.3
1,3.77,40.63
1,3.75,41.25
1,3.76,41.6
1,3.78,41.6
1,3.78,41.61
1,3.77,41.53
1,3.77,41.62
1,3.73,40.92
1,3.76,40.71
1,3.75,40.59
1,3.75,40.3
1,3.76,40.7
1,3.77,40.69
1,3.74,40.7
1,3.75,40.91
1,3.73,41.29
1,3.74,41.25
1,3.73,41.21
1,3.76,41.21
1,3.75,41.22
1,3.77,41.34
1,3.77,41.3
1,3.78,41.37
1,3.77,41.39
1,3.78,41.32
1,3.78,41.46
1,3.78,41.56
1,3.77,41.62
1,3.76,41.69
1,3.77,41.77
1,3.74,41.8
1,3.75,41.73
1,3.76,41.74
1,3.76,41.68
1,3.77,41.43
1,3.77,41.45
1,3.74,41.11
1,3.75,40.98
1,3.76,41.04
1,3.76,41.16
1,3.74,40.99
1,3.75,41.17
1,3.74,41.19
1,3.74,41.17
1,3.72,41.19
1,3.71,41.22
1,3.7,41.21
1,3.72,41.19
1,3.74,41.21
1,3.74,41.84
1,3.73,41.84
1,3.73,41.99
1,3.74,41.83
1,3.74,41.71
1,3.73,40.4
1,3.74,40.43
1,3.76,40.98
1,3.75,40.99
1,3.72,41.01
1,5.71,54.03
1,5.71,53.98
1,5.72,54.18
1,5.71,54.23
1,5.73,54.01
1,5.74,54.13
1,5.74,54.22
1,5.7,54.23
1,5.72,54.18
1,5.73,53.72
1,5.69,53.83
1,5.7,53.49
1,5.69,52.82
1,5.69,52.73
1,5.67,53.03
1,5.71,53.2
